date,rate_change_bps
2003-06-25,-25
2004-06-30,25
2004-08-10,25
2004-09-21,25
2004-11-10,25
2004-12-14,25
2005-02-02,25
2005-03-22,25
2005-05-03,25
2005-06-30,25
2005-08-09,25
2005-09-20,25
2005-11-01,25
2005-12-13,25
2006-01-31,25
2006-03-28,25
2006-05-10,25
2006-06-29,25
2007-09-18,-50
2007-10-31,-25
2007-12-11,-25
2008-01-22,-75
2008-01-30,-50
2008-03-18,-75
2008-04-30,-25
2008-10-08,-50
2008-10-29,-50
2008-12-16,-100
2015-12-17,25
2016-12-15,25
2017-03-16,25
2017-06-15,25
2017-12-14,25
2018-03-22,25
2018-06-14,25
2018-09-27,25
2018-12-20,25
2019-08-01,-25
2019-09-19,-25
2019-10-31,-25
2020-03-04,-50
2020-03-16,-100
2022-03-17,25
2022-05-05,50
2022-06-16,75
2022-07-28,75
2022-09-22,75
2022-11-03,75
2022-12-15,50
2023-02-02,25
2023-03-23,25
2023-05-04,25
2023-07-27,25
2024-09-19,-50
2024-11-08,-25
2024-12-19,-25
2025-09-18,-25
2025-10-30,-25
2025-12-11,-25